Index,DataA,DataB
1322,760.7,387.8
1323,796.2,409.7
1324,826.7,404.3
1325,778.1,381.3
1326,791.3,393.6
1327,762.2,393.8
1328,795.1,375.7
1329,858.6,399.8
1330,832.1,402.8
1331,817.1,398.1
1332,763.6,406.6
1333,747.4,396.5
1334,759.3,363.7
1335,783.4,397.2
1336,802.9,416.4
1337,821.2,406.1
1338,761.8,368.6
1339,787.2,409.3
1340,794.3,376.5
1341,842.7,427.2
1342,810.4,352.6
1343,824.1,425.4
1344,780.6,409.9
1345,761.0,400.8
1346,803.2,473.2
1347,791.3,379.2
1348,789.1,378.9
1349,806.9,389.2
1350,768.7,413.1
1351,809.3,387.7
1352,776.3,362.1
1353,836.3,370.7
1354,792.9,404.0
1355,772.5,374.2
1356,813.9,374.0
1357,861.9,355.4
1358,781.7,433.9
1359,772.0,365.4
1360,875.0,393.2
